Date Submitted,Workout Date,Activity Type,Calories Burned (kCal),Distance (mi),Workout Time (seconds),Avg Pace (min/mi),Max Pace,Avg Speed (mi/h),Max Speed,Avg Heart Rate,Steps,Notes,Source,Link
2022-04-28,2022-04-28,Run,398,3.10633,1659,8.89784,1,6.74321,70,149,4445,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6541872295
2022-04-27,2022-04-27,Run,444,3.50724,1880,8.92682,1,6.72131,58,152,5066,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6539658325
2022-04-25,2022-04-25,Run,393,3.10605,1659,8.89421,1,6.74597,63,150,4440,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6535112731
2022-04-23,2022-04-23,Run,404,3.1,1604,8.62366,0,6.95761,0,142,4312,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6531527377
2022-04-23,2022-04-23,Run,403,3.1,1659,8.91935,0,6.72694,0,142,4444,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6530209972
2022-04-22,2022-04-22,Run,406,3.1,1700,9.13978,0,6.56471,0,142,4542,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6528199306
2022-04-21,2022-04-21,Run,412,3.10142,1747,9.36898,9,6.40411,7,159,4639,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6526547335
2022-04-19,2022-04-19,Run,650,5.01831,2863,9.4959,9,6.31851,7,152,7656,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6522224401
2022-04-18,2022-04-18,Run,407,3.09845,1766,9.48472,9,6.32596,7,153,4696,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6520116703
2022-04-19,2022-04-17,Run,414,3.1,1800,9.67742,0,6.2,0,142,4781,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6523663267
2022-04-15,2022-04-15,Run,405,3.1,1694,9.10753,0,6.58796,0,142,4527,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6515709280
2022-04-15,2022-04-15,Run,312,2.33625,1384,9.86227,8,6.08379,8,151,3557,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6515052958
2022-04-10,2022-04-10,Run,416,3.1,1820,9.78495,0,6.13187,0,142,4829,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6504905743
2022-04-09,2022-04-09,Run,1070,7.52507,4924,10.9062,9,5.50145,7,156,13023,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6502480642
2022-04-03,2022-04-03,Run,30,0.251156,145,9.57475,9,6.26648,7,144,372,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6490051426
2022-04-03,2022-04-03,Run,881,6.19947,3852,10.3494,8,5.79745,7,161,10290,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6489971440
2022-03-31,2022-03-31,Run,411,3.1,1761,9.46774,0,6.33731,0,142,4688,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6485079649
2022-03-31,2022-03-27,Run,93,0.662913,394,9.89718,9,6.06234,7,148,999,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6485079682
2022-03-31,2022-03-27,Run,402,3.10118,1811,9.72485,8,6.16976,8,155,4714,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6485079163
2022-03-25,2022-03-25,Run,406,3.1,1704,9.16129,0,6.5493,0,142,4551,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6472625521
2022-03-25,2022-03-23,Run,415,3.1,1803,9.69355,0,6.18968,0,142,4788,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6472625032
2022-03-20,2022-03-20,Run,837,6.2,3694,9.93011,0,6.04223,0,142,9787,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6461523061
2022-03-19,2022-03-19,Run,830,6.2,3613,9.71237,0,6.17769,0,142,9593,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6459644329
2022-03-14,2022-03-13,Run,418,3.1,1847,9.93011,0,6.04223,0,142,4893,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6448408846
2022-03-11,2022-03-11,Run,817,6.20247,3834,10.3003,1,5.82508,62,155,10219,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6441968989
2022-03-11,2022-03-10,Run,410,3.1,1750,9.4086,0,6.37714,0,142,4661,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6441973732
2022-03-08,2022-03-09,Run,411,3.1,1757,9.44624,0,6.35174,0,142,4678,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6434423176
2022-03-06,2022-03-06,Run,1854,13.1,9189,11.6908,1,5.13222,88,156,22087,b'Run the Alamo Half Marathon',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6429988507
2022-03-05,2022-03-05,Run,422,3.1,1886,10.1398,0,5.91729,0,142,4987,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6428785840
2022-03-05,2022-03-05,Run,301,3.1,3688,19.828,0,3.02603,0,142,9296,b'Donut dash with Kolin\n',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6428785459
